Maximum Fitness,Min Fitness,Avarage Fitness
56.13,44.13,50.09
56.63,46.50,54.03
56.63,43.88,55.60
56.63,44.25,55.77
56.63,49.00,56.05
56.63,43.88,55.70
56.63,43.88,55.77
57.13,44.25,55.83
57.13,43.75,55.93
57.13,49.00,56.48
57.13,49.50,56.43
57.13,49.50,56.41
57.13,49.50,56.44
57.13,43.88,56.56
57.13,49.50,56.65
57.13,49.50,56.65
57.13,43.38,56.63
57.13,43.88,56.48
57.13,43.38,56.69
57.13,43.88,56.59
57.13,49.50,56.60
57.13,47.75,56.63
57.13,43.38,56.43
57.13,49.00,56.54
57.13,49.50,56.63
57.13,44.38,56.66
57.13,49.50,56.73
57.13,48.38,56.64
57.13,49.50,56.56
57.13,49.00,56.70
57.13,49.50,56.61
57.13,49.50,56.46
57.38,49.50,56.60
57.38,49.00,56.71
57.38,49.75,57.04
57.38,49.75,56.95
57.38,49.75,57.12
57.38,49.75,56.99
57.38,49.75,57.16
57.63,49.75,57.18
57.63,49.75,57.08
57.63,50.00,57.33
57.63,50.00,57.34
57.63,50.00,57.32
57.63,50.00,57.41
57.63,50.00,57.28
57.63,49.50,57.37
57.63,50.00,57.35
57.63,50.00,57.44
57.63,50.00,57.18
57.63,49.50,57.33
57.63,50.00,57.30
57.63,50.00,57.35
57.63,49.00,57.34
57.63,50.00,57.38
57.63,50.00,57.38
57.63,50.00,57.41
57.63,49.13,57.39
57.63,50.00,57.39
57.63,50.00,57.39
57.63,50.00,57.38
57.63,50.00,57.40
57.63,50.00,57.48
57.63,48.75,57.44
57.63,50.00,57.48
57.63,50.00,57.49
57.63,50.00,57.40
57.63,50.00,57.43
57.63,50.00,57.33
57.63,50.00,57.38
57.63,50.00,57.39
57.63,49.50,57.37
57.63,50.00,57.38
57.63,50.00,57.49
57.63,49.00,57.38
57.63,50.00,57.50
57.63,50.00,57.46
57.63,50.00,57.44
57.63,50.00,57.47
57.63,49.50,57.43
57.63,50.00,57.44
57.63,50.00,57.46
57.63,49.50,57.38
57.63,50.00,57.46
57.63,50.00,57.49
57.63,50.00,57.47
57.63,50.00,57.56
57.63,50.00,57.53
57.63,50.00,57.46
57.63,50.00,57.45
57.63,50.00,57.53
57.63,50.00,57.51
57.63,50.00,57.44
57.63,50.00,57.55
57.63,51.50,57.55
57.63,50.00,57.51
57.63,50.00,57.53
57.63,50.00,57.53
57.63,50.00,57.50
57.63,50.00,57.54
57.63,49.50,57.48
57.63,50.00,57.54
57.63,50.00,57.49
57.63,50.00,57.53
57.63,50.00,57.44
57.63,50.00,57.53
57.63,50.00,57.48
57.63,50.00,57.48
57.63,50.00,57.49
57.63,50.00,57.52
57.63,50.00,57.55
57.63,50.00,57.51
57.63,50.00,57.49
57.63,50.75,57.53
57.63,50.00,57.51
57.63,50.00,57.49
57.63,49.00,57.44
57.63,50.00,57.55
57.63,50.00,57.57
57.63,50.00,57.56
57.63,50.00,57.58
57.63,50.00,57.60
57.63,50.00,57.60
57.63,50.00,57.59
57.63,50.00,57.58
57.63,50.00,57.55
57.63,51.50,57.59
57.63,50.00,57.57
57.63,50.00,57.59
57.63,50.00,57.57
57.63,50.00,57.52
57.63,50.00,57.55
57.63,50.00,57.46
57.63,50.00,57.54
57.63,50.00,57.50
57.63,50.00,57.52
57.63,50.00,57.49
57.63,50.00,57.39
57.63,50.00,57.45
57.63,50.00,57.50
57.63,50.00,57.34
57.63,50.00,57.42
57.63,50.00,57.36
57.63,50.00,57.37
57.63,50.00,57.36
57.63,50.00,57.36
57.63,50.00,57.51
57.63,50.00,57.40
57.63,44.25,57.42
57.63,50.00,57.46
57.63,50.00,57.50
57.63,49.50,57.43
57.63,50.00,57.44
57.63,50.00,57.38
57.63,50.00,57.49
57.63,50.00,57.41
57.63,50.00,57.47
57.63,50.00,57.49
57.63,50.00,57.42
57.63,50.00,57.44
57.63,50.00,57.43
57.63,50.00,57.43
57.63,50.00,57.45
57.63,50.00,57.52
57.63,50.00,57.46
57.63,50.00,57.47
57.63,50.00,57.41
57.63,50.00,57.49
57.63,50.00,57.41
57.63,50.00,57.53
57.63,50.00,57.42
57.63,50.00,57.48
57.63,50.00,57.47
57.63,50.00,57.34
57.63,50.00,57.37
57.63,50.00,57.37
57.63,50.00,57.30
57.63,49.88,57.41
57.63,50.00,57.46
57.63,50.00,57.47
57.63,50.00,57.39
57.63,50.00,57.46
57.63,50.00,57.38
57.63,50.00,57.33
57.63,48.38,57.33
57.63,50.00,57.36
57.63,43.88,57.31
57.63,50.00,57.41
57.63,50.00,57.34
57.63,50.00,57.47
57.63,50.00,57.42
57.63,44.13,57.47
57.63,50.00,57.46
57.63,50.00,57.56
57.63,50.00,57.46
57.63,50.00,57.47
57.63,50.00,57.37
57.63,49.75,57.47
57.63,50.00,57.39
57.63,50.00,57.54
57.63,50.00,57.46
57.63,50.00,57.43
57.63,50.00,57.37
57.63,50.00,57.45
57.63,50.00,57.46
57.63,50.00,57.54
57.63,50.00,57.47
57.63,50.00,57.51
57.63,50.00,57.48
57.63,50.00,57.48
57.63,50.00,57.43
57.63,50.00,57.49
57.63,50.00,57.42
57.63,50.00,57.48
57.63,50.00,57.51
57.63,50.00,57.58
57.63,50.00,57.54
57.63,50.00,57.53
57.63,50.00,57.56
57.63,50.75,57.56
57.63,50.00,57.56
57.63,50.00,57.35
57.63,50.00,57.52
57.63,50.00,57.50
57.63,51.50,57.54
57.63,50.00,57.51
57.63,50.00,57.51
57.63,50.00,57.50
57.63,50.00,57.52
57.63,50.00,57.55
57.63,50.00,57.51
57.63,51.50,57.54
57.63,50.00,57.55
57.63,50.00,57.57
57.63,50.00,57.58
57.63,50.00,57.56
57.63,50.00,57.55
57.63,50.00,57.51
57.63,50.00,57.51
57.63,50.00,57.54
57.63,50.00,57.57
57.63,50.00,57.55
57.63,50.00,57.55
57.63,50.00,57.59
57.63,51.75,57.61
57.63,50.00,57.55
57.63,50.00,57.58
57.63,50.00,57.49
57.63,50.00,57.49
57.63,50.00,57.55
57.63,50.00,57.59
57.63,50.00,57.58
57.63,50.00,57.58
57.63,50.00,57.52
57.63,50.00,57.58
57.63,50.00,57.55
57.63,50.00,57.59
57.63,50.00,57.55
57.63,50.00,57.56
57.63,50.00,57.58
57.63,50.00,57.60
57.63,50.00,57.58
57.63,50.00,57.56
57.63,50.00,57.56
57.63,50.00,57.58
57.63,50.00,57.56
57.63,51.75,57.61
57.63,50.00,57.59
57.63,50.00,57.54
57.63,50.00,57.55
57.63,50.00,57.54
57.63,50.00,57.55
57.63,50.00,57.52
57.63,50.00,57.52
57.63,50.00,57.61
57.63,50.00,57.51
57.63,50.00,57.54
57.63,50.00,57.55
57.63,50.00,57.53
57.63,50.00,57.50
57.63,50.00,57.50
57.63,51.50,57.57
57.63,50.00,57.48
57.63,51.50,57.55
57.63,50.00,57.49
57.63,50.00,57.53
57.63,50.00,57.58
57.63,50.00,57.49
57.63,50.00,57.51
57.63,50.00,57.52
57.63,50.00,57.50
57.63,50.00,57.51
57.63,50.00,57.46
57.63,50.00,57.55
57.63,50.00,57.58
57.63,50.00,57.57
57.63,50.00,57.57
57.63,50.00,57.47
57.63,50.00,57.50
57.63,43.13,57.41
57.63,50.00,57.43
57.63,50.00,57.53
57.63,50.00,57.49
57.63,50.00,57.53
57.63,50.00,57.51
57.63,50.00,57.51
57.63,50.00,57.50
57.63,51.50,57.58
57.63,51.50,57.55
57.63,50.00,57.51
57.63,44.13,57.51
57.63,50.00,57.54
57.63,50.00,57.55
57.63,50.00,57.53
57.63,50.00,57.54
57.63,50.75,57.58
57.63,50.00,57.54
57.63,50.00,57.55
57.63,50.00,57.54
57.63,50.00,57.47
57.63,50.00,57.53
57.63,50.00,57.50
57.63,50.00,57.45
57.63,50.00,57.47
57.63,50.00,57.43
57.63,50.00,57.38
57.63,50.00,57.43
57.63,50.00,57.42
57.63,50.00,57.37
57.63,50.00,57.36
57.63,50.00,57.43
57.63,50.00,57.46
57.63,43.88,57.41
57.63,50.00,57.33
57.63,49.00,57.35
57.63,50.00,57.34
57.63,50.00,57.53
57.63,50.00,57.40
57.63,50.00,57.55
57.63,50.00,57.49
57.63,51.50,57.49
57.63,43.13,57.37
57.63,50.00,57.28
57.63,50.00,57.40
57.63,50.00,57.43
57.63,50.00,57.52
57.63,50.00,57.52
57.63,50.00,57.53
57.63,50.00,57.52
57.63,49.88,57.56
57.63,50.00,57.46
57.63,50.00,57.53
57.63,50.00,57.42
57.63,50.00,57.50
57.63,51.50,57.54
57.63,50.00,57.55
57.63,50.00,57.54
57.63,50.00,57.54
57.63,56.38,57.62
57.63,51.50,57.58
57.63,50.00,57.54
57.63,50.00,57.53
57.63,51.50,57.59
57.63,51.50,57.58
57.63,51.50,57.53
57.63,50.00,57.55
57.63,50.00,57.53
57.63,50.00,57.59
57.63,56.63,57.62
57.63,51.75,57.59
57.63,50.00,57.61
57.63,50.00,57.56
57.63,50.00,57.59
57.63,50.00,57.60
57.63,51.50,57.59
57.63,51.50,57.57
57.63,51.50,57.59
57.63,51.75,57.61
57.63,51.50,57.59
57.63,50.00,57.57
57.63,51.50,57.60
57.63,51.50,57.58
57.63,51.50,57.58
57.63,51.75,57.60
57.63,51.75,57.60
57.63,50.00,57.56
57.63,51.50,57.61
57.63,54.13,57.62
57.63,50.00,57.55
57.63,51.50,57.59
57.63,51.50,57.61
57.63,50.00,57.59
57.63,51.50,57.61
57.63,51.50,57.60
57.63,51.50,57.60
57.63,51.50,57.58
57.63,51.50,57.58
57.63,50.00,57.60
57.63,50.75,57.55
57.63,56.63,57.62
57.63,50.00,57.60
57.63,51.50,57.60
57.63,51.50,57.59
57.63,50.00,57.58
57.63,51.75,57.61
57.63,56.50,57.62
57.63,51.50,57.59
57.63,51.50,57.59
57.63,50.00,57.59
57.63,50.00,57.59
57.63,50.00,57.59
57.63,51.50,57.59
57.63,51.50,57.57
57.63,50.00,57.57
57.63,51.50,57.59
57.63,57.38,57.62
57.63,50.75,57.60
57.63,50.75,57.59
57.63,51.50,57.58
57.63,56.38,57.62
57.63,51.50,57.58
57.63,50.00,57.61
57.63,51.50,57.59
57.63,56.63,57.62
57.63,50.00,57.59
57.63,51.50,57.59
57.63,51.75,57.61
57.63,51.75,57.61
57.63,50.00,57.59
57.63,51.75,57.60
57.63,51.50,57.58
57.63,50.75,57.58
57.63,50.00,57.58
57.63,50.00,57.61
57.63,51.75,57.61
57.63,51.50,57.60
57.63,50.00,57.55
57.63,51.63,57.60
57.63,56.63,57.62
57.63,51.50,57.59
57.63,50.00,57.60
57.63,51.50,57.57
57.63,50.00,57.57
57.63,50.00,57.54
57.63,51.50,57.60
57.63,51.50,57.58
57.63,51.38,57.60
57.63,50.00,57.58
57.63,51.50,57.58
57.63,51.50,57.61
57.63,51.50,57.58
57.63,50.00,57.57
57.63,56.63,57.62
57.63,50.00,57.58
57.63,51.75,57.61
57.63,56.88,57.62
57.63,51.75,57.61
57.63,51.50,57.59
57.63,51.50,57.59
57.63,51.50,57.59
57.63,51.50,57.59
57.63,51.50,57.56
57.63,51.50,57.60
57.63,50.00,57.57
57.63,50.75,57.58
57.63,50.00,57.51
57.63,51.50,57.51
57.63,51.50,57.59
57.63,50.00,57.50
57.63,51.50,57.51
57.63,43.88,57.45
57.63,50.00,57.45
57.63,43.88,57.40
57.63,51.50,57.48
57.63,51.50,57.52
57.63,49.75,57.39
57.63,50.00,57.42
57.63,50.00,57.50
57.63,50.00,57.54
57.63,50.00,57.49
57.63,50.00,57.38
57.63,50.00,57.40
57.63,50.00,57.31
57.63,50.00,57.44
57.63,50.00,57.39
57.63,50.00,57.36
57.63,50.00,57.31
57.63,50.00,57.27
57.63,50.00,57.28
57.63,43.88,57.32
57.63,50.00,57.33
57.63,49.75,57.27
57.63,50.00,57.19
57.63,50.00,57.42
57.63,49.00,57.27
57.63,50.00,57.35
57.63,50.00,57.24
57.63,43.88,57.22
57.63,50.00,57.32
57.63,50.00,57.43
57.63,50.00,57.40
57.63,50.00,57.36
